ओँ॒,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,अनुदात्तः,दीर्घः,अनुनासिकः
ओँ॑,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,स्वरितः,दीर्घः,अनुनासिकः
ओ३,स्वरः,कण्ठः+ओष्ठौ,विवृतः,उदात्तः,प्लुतः,निरनुनासिकः
ओ॒३,स्वरः,कण्ठः+ओष्ठौ,विवृतः,अनुदात्तः,प्लुतः,निरनुनासिकः
ओ॑३,स्वरः,कण्ठः+ओष्ठौ,विवृतः,स्वरितः,प्लुतः,निरनुनासिकः
ओँ३,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,उदात्तः,प्लुतः,अनुनासिकः
ओँ॒३,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,अनुदात्तः,प्लुतः,अनुनासिकः
ओँ॑३,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,स्वरितः,प्लुतः,अनुनासिकः
औ,स्वरः,कण्ठः+ओष्ठौ,विवृतः,उदात्तः,दीर्घः,निरनुनासिकः
औ॒,स्वरः,कण्ठः+ओष्ठौ,विवृतः,अनुदात्तः,दीर्घः,निरनुनासिकः
औ॑,स्वरः,कण्ठः+ओष्ठौ,विवृतः,स्वरितः,दीर्घः,निरनुनासिकः
औँ,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,उदात्तः,दीर्घः,अनुनासिकः
औँ॒,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,अनुदात्तः,दीर्घः,अनुनासिकः
औँ॑,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,स्वरितः,दीर्घः,अनुनासिकः
औ३,स्वरः,कण्ठः+ओष्ठौ,विवृतः,उदात्तः,प्लुतः,निरनुनासिकः
औ॒३,स्वरः,कण्ठः+ओष्ठौ,विवृतः,अनुदात्तः,प्लुतः,निरनुनासिकः
औ॑३,स्वरः,कण्ठः+ओष्ठौ,विवृतः,स्वरितः,प्लुतः,निरनुनासिकः
औँ३,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,उदात्तः,प्लुतः,अनुनासिकः
औँ॒३,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,अनुदात्तः,प्लुतः,अनुनासिकः
औँ॑३,स्वरः,कण्ठः+ओष्ठौ+नासिका,विवृतः,स्वरितः,प्लुतः,अनुनासिकः
क्,व्यञ्जनम्,कण्ठः,स्पृष्टः,कर्कशः+अल्पप्राणः,-,निरनुनासिकः
ख्,व्यञ्जनम्,कण्ठः,स्पृष्टः,कर्कशः+महाप्राणः,-,निरनुनासिकः
ग्,व्यञ्जनम्,कण्ठः,स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
घ्,व्यञ्जनम्,कण्ठः,स्पृष्टः,मृदुः+महाप्राणः,-,निरनुनासिकः
ङ्,व्यञ्जनम्,कण्ठः+नासिका,स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
च्,व्यञ्जनम्,तालु,स्पृष्टः,कर्कशः+अल्पप्राणः,-,निरनुनासिकः
छ्,व्यञ्जनम्,तालु,स्पृष्टः,कर्कशः+महाप्राणः,-,निरनुनासिकः
ज्,व्यञ्जनम्,तालु,स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
झ्,व्यञ्जनम्,तालु,स्पृष्टः,मृदुः+महाप्राणः,-,निरनुनासिकः
ञ्,व्यञ्जनम्,तालु+नासिका,स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
ट्,व्यञ्जनम्,मूर्धा,स्पृष्टः,कर्कशः+अल्पप्राणः,-,निरनुनासिकः
ठ्,व्यञ्जनम्,मूर्धा,स्पृष्टः,कर्कशः+महाप्राणः,-,निरनुनासिकः
ड्,व्यञ्जनम्,मूर्धा,स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
ढ्,व्यञ्जनम्,मूर्धा,स्पृष्टः,मृदुः+महाप्राणः,-,निरनुनासिकः
ण्,व्यञ्जनम्,मूर्धा+नासिका,स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
त्,व्यञ्जनम्,दन्ताः,स्पृष्टः,कर्कशः+अल्पप्राणः,-,निरनुनासिकः
थ्,व्यञ्जनम्,दन्ताः,स्पृष्टः,कर्कशः+महाप्राणः,-,निरनुनासिकः
द्,व्यञ्जनम्,दन्ताः,स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
ध्,व्यञ्जनम्,दन्ताः,स्पृष्टः,मृदुः+महाप्राणः,-,निरनुनासिकः
न्,व्यञ्जनम्,दन्ताः+नासिका,स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
प्,व्यञ्जनम्,ओष्ठौ,स्पृष्टः,कर्कशः+अल्पप्राणः,-,निरनुनासिकः
फ्,व्यञ्जनम्,ओष्ठौ,स्पृष्टः,कर्कशः+महाप्राणः,-,निरनुनासिकः
ब्,व्यञ्जनम्,ओष्ठौ,स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
भ्,व्यञ्जनम्,ओष्ठौ,स्पृष्टः,मृदुः+महाप्राणः,-,निरनुनासिकः
म्,व्यञ्जनम्,ओष्ठौ+नासिका,स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
य्,व्यञ्जनम्,तालु,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
य्ँ,व्यञ्जनम्,तालु+नासिका,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
र्,व्यञ्जनम्,मूर्धा,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
ल्,व्यञ्जनम्,दन्ताः,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
ल्ँ,व्यञ्जनम्,दन्ताः+नासिका,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
व्,व्यञ्जनम्,दन्ताः+ओष्ठौ,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
व्ँ,व्यञ्जनम्,दन्ताः+ओष्ठौ+नासिका,ईषत्स्पृष्टः,मृदुः+अल्पप्राणः,-,अनुनासिकः
श्,व्यञ्जनम्,तालु,ईषद्विवृतः,कर्कशः+महाप्राणः,-,निरनुनासिकः
ष्,व्यञ्जनम्,मूर्धा,ईषद्विवृतः,कर्कशः+महाप्राणः,-,निरनुनासिकः
स्,व्यञ्जनम्,दन्ताः,ईषद्विवृतः,कर्कशः+महाप्राणः,-,निरनुनासिकः
ह्,व्यञ्जनम्,कण्ठः,ईषद्विवृतः,मृदुः+महाप्राणः,-,निरनुनासिकः
ळ्,व्यञ्जनम्,दन्ताः+मूर्धा,दुःस्पृष्टः,मृदुः+अल्पप्राणः,-,निरनुनासिकः
ं,अयोगवाहः,नासिका,-,-,-,निरनुनासिकः
ः,अयोगवाहः,कण्ठः,-,-,-,निरनुनासिकः
ᳵ,अयोगवाहः,जिह्वामूलम्,-,-,-,निरनुनासिकः
ᳶ,अयोगवाहः,ओष्ठौ,-,-,-,निरनुनासिकः
क्क्,यमः,कण्ठः,-,-,-,निरनुनासिकः
ख्ख्,यमः,कण्ठः,-,-,-,निरनुनासिकः
ग्ग्,यमः,कण्ठः,-,-,-,निरनुनासिकः
घ्घ्,यमः,कण्ठः,-,-,-,निरनुनासिकः
